"selection1_item_names","selection1_release_date","selection1_date_of_stock","selection1_price","selection1_sales"
"LEE EUN SANG - Mini Album Vol.1 [Beautiful Scar] (Scar Ver.)","Release 2020-09-01","(Expected) Date of stock 2020-09-21","USD 15.57 USD 19.36","Sales 1,666"
"Seo Jun hyeok - Album [Mukdong Museum of Contemporary Art]","Release 2020-09-01","(Expected) Date of stock 2020-08-31","USD 13.73 USD 17.60",""
"(Out Of Stock) BLACKPINK - 2020 BLACKPINK'S SUMMER DIARY IN SEOUL KiT VIDEO","Release 2020-08-31","(Expected) Date of stock 2020-09-04","USD 37.83","Sales 7,128"
"[DVD] BLACKPINK - 2020 BLACKPINK'S SUMMER DIARY IN SEOUL DVD","Release 2020-08-31","(Expected) Date of stock 2020-09-22","USD 37.83","Sales 40,227"
"[PHOTOBOOK] KIM YO HAN - 1st PHOTOBOOK [One day after another]","Release 2020-08-31","(Expected) Date of stock 2020-08-31","USD 32.55","Sales 1,880"
"(Out Of Stock) [Photobook] Stray Kids - STRAY KIDS 2nd PHOTOBOOK [stay in playground]","Release 2020-08-31","(Expected) Date of stock 2020-09-02","USD 38.71","Sales 6,993"
"Hyo Lyn - EP Album [SAY MY NAME]","Release 2020-08-28","(Expected) Date of stock 2020-09-08","USD 12.49 USD 16.28","Sales 589"
"OnlyOneOf - Album [Produced by [ ] Part2] (FIRE VER) (first press)","Release 2020-08-28","(Expected) Date of stock 2020-08-27","USD 10.12 USD 12.93","Sales 1,294"
"OnlyOneOf - Album [Produced by [ ] Part2] (FIRE VER) (Second press)","Release 2020-08-28","(Expected) Date of stock 2020-09-11","USD 10.12 USD 12.93","Sales 16"
"OnlyOneOf - Album [Produced by [ ] Part2] (ICE VER) (Second press)","Release 2020-08-28","(Expected) Date of stock 2020-09-15","USD 10.12 USD 12.93","Sales 1,236"
"Purple Rain - Album [Wanderer Fantasy]","Release 2020-08-27","(Expected) Date of stock 2020-08-26","USD 14.34 USD 17.60","Sales 459"
"BOTOPASS - Single Album [Flamingo]","Release 2020-08-26","(Expected) Date of stock 2020-09-14","USD 11.26 USD 14.52","Sales 67"
"MCND - Mini Album Vol.1 [EARTH AGE] (EARTH Ver.)","Release 2020-08-26","(Expected) Date of stock 2020-09-21","USD 15.57 USD 19.36","Sales 642"
"MCND - Mini Album Vol.1 [EARTH AGE] (KEPLER Ver.)","Release 2020-08-26","(Expected) Date of stock 2020-08-25","USD 15.57 USD 19.36","Sales 538"
"CRAVITY - Album SEASON2. [HIDEOUT: THE NEW DAY WE STEP INTO] (Random Ver.) (first press) (Ktown4u Pre-order benefit : Photocard 1p) *Different versions will be sent in case of purchasing 3 or more","Release 2020-08-25","(Expected) Date of stock 2020-08-19","USD 13.11 USD 16.28","Sales 14,649"
"[SET][3CD SET] CRAVITY - Album SEASON2. [HIDEOUT: THE NEW DAY WE STEP INTO] (Ver.1 + Ver.2 + Ver.3) (Ktown4u Pre-order benefit : Photocard 3p 1set)","Release 2020-08-25","(Expected) Date of stock 2020-08-24","USD 39.32 USD 48.82","Sales 1,617"
"[Sign Event] CRAVITY - Album SEASON2. [HIDEOUT: THE NEW DAY WE STEP INTO] (Random Ver.)","Release 2020-08-25","(Expected) Date of stock 2020-09-21","USD 13.11 USD 16.28",""
"Into The Ring O.S.T - KBS2 Drama (Track List : DREAMCATCHER, This Month’s Girl (LOONA))","Release 2020-08-25","(Expected) Date of stock 2020-08-24","USD 11.26 USD 14.52","Sales 38"
"DONGKIZ - Single Album Vol.3 [自我] (ILLUSION Ver.)","Release 2020-08-20","(Expected) Date of stock 2020-08-19","USD 12.67 USD 16.28","Sales 51"
"DONGKIZ - Single Album Vol.3 [自我] (REALITY Ver.)","Release 2020-08-20","(Expected) Date of stock 2020-08-19","USD 12.67 USD 16.28","Sales 42"
"ONEUS - Mini Album Vol.4 [LIVED]","Release 2020-08-20","(Expected) Date of stock 2020-09-21","USD 12.93 USD 16.28","Sales 6,464"
"DREAMCATCHER - Mini Album Vol.5 [Dystopia : Lose Myself] (Nomal Edition) (E Ver.)","Release 2020-08-19","(Expected) Date of stock 2020-09-15","USD 11.88 USD 15.31","Sales 6,372"
"DREAMCATCHER - Mini Album Vol.5 [Dystopia : Lose Myself] (Nomal Edition) (H Ver.)","Release 2020-08-19","(Expected) Date of stock 2020-09-11","USD 11.88 USD 15.31","Sales 6,116"
"DREAMCATCHER - Mini Album Vol.5 [Dystopia : Lose Myself] (Pre-order Limited Edition)","Release 2020-08-19","(Expected) Date of stock 2020-08-25","USD 11.88 USD 15.31","Sales 7,390"
"Kim Jae Hwan - LP Album [MOMENT] (5,000 Limited Edition)","Release 2020-08-19","(Expected) Date of stock 2020-08-19","USD 39.59","Sales 150"
"ZAI.RO - Album Vol.3 [Good Boy]","Release 2020-08-19","(Expected) Date of stock 2020-09-21","USD 13.20 USD 16.98","Sales 131"
