"selection1_item_names","selection1_release_date","selection1_date_of_stock","selection1_price","selection1_sales"
"DooRi - Mini Album Vol.1 [예쁨주의보]","Release 2020-05-19","(Expected) Date of stock 2020-05-21","USD 9.15 USD 11.26","Sales 5"
"JJANGYOU - Album Vol.3 [Wave]","Release 2020-05-19","(Expected) Date of stock 2020-07-29","USD 13.73 USD 17.60","Sales 35"
"REDSQUARE - Single Album Vol.1 [PREQUEL]","Release 2020-05-19","(Expected) Date of stock 2020-08-19","USD 8.54 USD 11.26","Sales 193"
"TXT(TOMORROW X TOGETHER) - Album [The Dream Chapter : ETERNITY] (Random Ver.)","Release 2020-05-18","(Expected) Date of stock 2020-09-21","USD 14.34 USD 17.60","Sales 3,930"
"BOLBBALGAN4 - Album [Youth Diary Ⅱ : Butterfly That Sees Flower]","Release 2020-05-14","(Expected) Date of stock 2020-09-15","USD 11.62 USD 14.52","Sales 278"
"BVNDIT - Mini Ablum Vol.2 [Carnival]","Release 2020-05-14","(Expected) Date of stock 2020-09-21","USD 11.35 USD 14.52","Sales 514"
"Dynamic Duo - Album Vol.8 [GRAND CARNIVAL] (reissue)","Release 2020-05-12","(Expected) Date of stock 2020-08-24","USD 11.35 USD 14.52","Sales 30"
"Dynamic Duo - Vol.7 [Luckynumbers]","Release 2020-05-12","(Expected) Date of stock 2020-09-15","USD 10.74 USD 13.64","Sales 11"
"NU'EST - Mini Album Vol.8 [The Nocturne] (Kit Album) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped at a time.","Release 2020-05-12","(Expected) Date of stock 2020-05-11","USD 18.21 USD 23.67","Sales 168"
"NU'EST - Mini Album Vol.8 [The Nocturne] (Ver.1)","Release 2020-05-12","(Expected) Date of stock 2020-05-11","USD 14.25 USD 18.56","Sales 8,492"
"NU'EST - Mini Album Vol.8 [The Nocturne] (Ver.2)","Release 2020-05-12","(Expected) Date of stock 2020-05-11","USD 14.25 USD 18.56","Sales 8,586"
"NU'EST - Mini Album Vol.8 [The Nocturne] (Ver.3)","Release 2020-05-12","(Expected) Date of stock 2020-05-11","USD 14.25 USD 18.56","Sales 8,558"
"NU'EST - Mini Album Vol.8 [The Nocturne] (Ver.4)","Release 2020-05-12","(Expected) Date of stock 2020-05-11","USD 14.25 USD 18.56","Sales 8,528"
"[DVD] SHIN HYE SUNG - 2013~2014 SHIN HYE SUNG CONCERT THE YEAR'S JOURNEY DVD","Release 2020-05-11","(Expected) Date of stock 2020-09-20","USD 26.13","Sales 2"
"[DVD] SHINHWA: M (LEE MIN WOO) - CONCERT DVD : M+TEN TOUR IN SEOUL - M STEP","Release 2020-05-11","(Expected) Date of stock 2020-07-23","USD 31.93","Sales 143"
"NATTY - Single Album Vol.1 [NINETEEN] (Kit Album) *Due to the built-in battery inside, only 1 item can be shipped per package","Release 2020-05-08","(Expected) Date of stock 2020-09-21","USD 16.01 USD 20.59","Sales 137"
"ASTRO - Mini Album Vol.7 [GATEWAY] (Random Ver.)","Release 2020-05-07","(Expected) Date of stock 2020-09-14","USD 12.93 USD 16.28","Sales 580"
"FANATICS - Mini Album Vol.2 [PLUS TWO]","Release 2020-05-07","(Expected) Date of stock 2020-08-03","USD 12.32 USD 15.31","Sales 110"
"[DVD] AB6IX - AB6IX 1ST WORLD TOUR <6IXENSE> IN SEOUL DVD","Release 2020-05-07","(Expected) Date of stock 2020-05-06","USD 36.95","Sales 958"
"[Blu-Ray] GOT7 - GOT7 2019 WORLD TOUR 'KEEP SPINNING' IN SEOUL BLU-RAY","Release 2020-04-29","(Expected) Date of stock 2020-04-28","USD 48.38","Sales 951"
"NOIR - Mini Album Vol.4 [Up the sky : 飛]","Release 2020-04-28","(Expected) Date of stock 2020-09-14","USD 11.44 USD 14.52","Sales 217"
"[Photobook] Tzuyu - 1ST PHOTOBOOK [Yes, I am Tzuyu] (Blue Ver.)","Release 2020-04-28","(Expected) Date of stock 2020-04-27","USD 34.31","Sales 3,036"
"[Photobook] Tzuyu - 1ST PHOTOBOOK [Yes, I am Tzuyu] (Peach Ver.)","Release 2020-04-27","(Expected) Date of stock 2020-04-27","USD 34.31","Sales 2,693"
"HAN YO HAN - Album Vol.2 [Spirit Bomb]","Release 2020-04-24","(Expected) Date of stock 2020-09-11","USD 14.34 USD 17.60","Sales 130"
"Lim Heon Il - Album Vol.2 [Breathe]","Release 2020-04-24","(Expected) Date of stock 2020-06-03","USD 12.93 USD 16.28","Sales 1"
"APRIL - Mini Album Vol.7 [Da Capo] (Random Ver.)","Release 2020-04-23","(Expected) Date of stock 2020-09-15","USD 13.55 USD 16.98","Sales 252"
"[SET] [2CD SET] APRIL - Mini Album Vol.7 [Da Capo] (GLITTER Ver. + SUIT Ver.)","Release 2020-04-23","(Expected) Date of stock 2020-04-28","USD 27.10 USD 33.96","Sales 190"
"H&D - Mini Album Vol.1 [SOULMATE] (MATE Ver.)","Release 2020-04-22","(Expected) Date of stock 2020-07-01","USD 18.12 USD 22.61","Sales 1,429"
"GOT7 - Mini Album [DYE] (Random Ver.)","Release 2020-04-21","(Expected) Date of stock 2020-09-14","USD 14.34 USD 17.60","Sales 73,842"
"Kid Milli - Album Vol.1.5 [BEIGE 0.5]","Release 2020-04-21","(Expected) Date of stock 2020-09-11","USD 14.34 USD 17.60","Sales 1,017"
"CRAVITY - Album SEASON1. [HIDEOUT: REMEMBER WHO WE ARE] (Random Ver.)","Release 2020-04-15","(Expected) Date of stock 2020-08-11","USD 12.93 USD 16.28","Sales 3,804"
"Apink - Mini Album Vol.9 [LOOK] (Joojilong Ver.)","Release 2020-04-14","(Expected) Date of stock 2020-09-14","USD 12.93 USD 16.28","Sales 2,637"
"G-STAR - EP Albim [Regret]","Release 2020-04-14","(Expected) Date of stock 2020-07-27","USD 12.49 USD 16.28","Sales 1"
"(Out Of Stock) Itaewon class O.S.T - JTBC Drama (Track list : BTS V)","Release 2020-04-14","(Expected) Date of stock 2020-04-14","USD 18.74 USD 24.19","Sales 250"
"BNJX - Album Vol.1 [Your magazine]","Release 2020-04-10","(Expected) Date of stock 2020-07-24","USD 8.54 USD 11.26","Sales 3"
"(Out Of Stock) nafla - Album Vol.2 [u n u]","Release 2020-04-10","(Expected) Date of stock 2020-04-13","USD 15.57 USD 20.24","Sales 900"
"WINNER - Full Album Vol.3 [Remember] (US Ver.) *Ktown4u Pre-order benefit : Unrevealed Photocard 5p 1set (limited quantity Until sold out)","Release 2020-04-10","(Expected) Date of stock 2020-09-14","USD 15.75 USD 20.94","Sales 43,974"
"WINNER - Full Album Vol.3 [Remember] (YOU Ver.) *Ktown4u Pre-order benefit : Unrevealed Photocard 5p 1set (limited quantity Until sold out)","Release 2020-04-10","(Expected) Date of stock 2020-09-14","USD 15.75 USD 20.94","Sales 43,624"
"SHIN SEUNG HUN - Special Album [My Personas]","Release 2020-04-09","(Expected) Date of stock 2020-09-01","USD 13.90 USD 17.60","Sales 4"
"(G)I-DLE - Mini Album Vol.3 [I trust] (Lie Ver.) FIRST PRESS","Release 2020-04-07","(Expected) Date of stock 2020-04-14","USD 12.93 USD 16.28","Sales 40,661"
"(G)I-DLE - Mini Album Vol.3 [I trust] (True Ver.) FIRST PRESS","Release 2020-04-07","(Expected) Date of stock 2020-04-17","USD 12.93 USD 16.19","Sales 43,047"
"GA EUN - Mini Album Vol.1 [WALNUTFUL]","Release 2020-04-07","(Expected) Date of stock 2020-07-09","USD 12.93 USD 16.28","Sales 7"
"Max Chang Min - Mini Album Vol.1 [Chocolate] (Random Ver.)","Release 2020-04-07","(Expected) Date of stock 2020-05-08","USD 14.34 USD 17.60","Sales 13,138"
"SUHO - Mini Album Vol.1 [Self-Portrait] (Kit Ver.) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped at a time.","Release 2020-04-07","(Expected) Date of stock 2020-04-06","USD 15.57 USD 19.36","Sales 5,306"
"Jayci Yucca - Album [The Last Boy In The Class]","Release 2020-04-06","(Expected) Date of stock 2020-09-07","USD 10.91 USD 14.52","Sales 51"
"PurpleBeck - Mini Album Vol.1 [Starry Night]","Release 2020-04-06","(Expected) Date of stock 2020-04-06","USD 14.96 USD 19.36","Sales 815"
"Trolls World Tour OST (Track List : Red Velvet) (Trolls World Tour Original Motion Picture Soundtrack)","Release 2020-04-06","(Expected) Date of stock 2020-04-03","USD 15.57 USD 19.36","Sales 23"
"TOO - Mini Album Vol.1 [REASON FOR BEING :인(仁)] (dysTOOpia Ver.) (second press)","Release 2020-04-02","(Expected) Date of stock 2020-09-21","USD 13.20 USD 16.89","Sales 112"
"DON MALIK - Album Vol.1 [선인장화: MALIK THE CACTUS FLOWER]","Release 2020-04-01","(Expected) Date of stock 2020-09-11","USD 12.58 USD 16.28","Sales 11"
"Boramiyu - Mini Album Vol.2 [Dear My Color]","Release 2020-03-31","(Expected) Date of stock 2020-08-20","USD 10.30 USD 13.11","Sales 17"
"Busters - Album Vol.2 [Once and for All]","Release 2020-03-31","(Expected) Date of stock 2020-05-26","USD 14.34 USD 17.60","Sales 11"
"Kisnue - Mini Album Vol.1 [LAYERS]","Release 2020-03-31","(Expected) Date of stock 2020-07-06","USD 9.50 USD 12.06","Sales 10"
"SUHO - Mini Album Vol.1 [Self-Portrait] (Random Ver.)","Release 2020-03-31","(Expected) Date of stock 2020-04-21","USD 14.34 USD 17.68","Sales 58,038"
"Leeteuk - Special meal Cook book","Release 2020-03-30","(Expected) Date of stock 2020-08-26","USD 11.26 USD 13.02","Sales 3,107"
"MY.st - Mini Album Vol.1 [THE GLOW : Eden]","Release 2020-03-27","(Expected) Date of stock 2020-09-14","USD 12.58 USD 16.19","Sales 33"
"ANDN - Album [From. ANDN]","Release 2020-03-24","(Expected) Date of stock 2020-07-09","USD 12.49 USD 16.28","Sales 6"
"Kang Daniel - Mini Album Vol.1 [CYAN] (Random Ver.)","Release 2020-03-24","(Expected) Date of stock 2020-03-30","USD 12.32 USD 15.40","Sales 149,662"
"Swings - Album Vol.7 [Upgrade Ⅳ]","Release 2020-03-20","(Expected) Date of stock 2020-03-20","USD 12.93 USD 16.28","Sales 13"
"SEJEONG - Mini Album Vol.1 [Plant]","Release 2020-03-18","(Expected) Date of stock 2020-09-15","USD 11.18 USD 14.55","Sales 2,535"
"[Photobook] BLACKPINK : JENNIE - JENNIE [SOLO] PHOTOBOOK","Release 2020-03-18","(Expected) Date of stock 2020-09-14","USD 12.14 USD 16.28","Sales 28,870"
"(Out Of Stock) DPR LIVE - Album Vol.1 [IS ANYBODY OUT THERE?]","Release 2020-03-17","(Expected) Date of stock 2020-04-27","USD 16.81 USD 20.94","Sales 630"
"HONG EUNKI - Mini Album Vol1 [UNDEFINABLE:LOVE]","Release 2020-03-17","(Expected) Date of stock 2020-03-26","USD 12.41 USD 16.28","Sales 16"
"DAVII - Mini Album [CINEMA]","Release 2020-03-13","(Expected) Date of stock 2020-08-24","USD 11.18 USD 14.52","Sales 21"
"BLNK - Album Vol.2 [FLAME]","Release 2020-03-11","(Expected) Date of stock 2020-09-01","USD 12.76 USD 16.28","Sales 45"
"(Out Of Stock) [DVD] GFRIEND - 2019 GFRIEND ASIA TOUR [GO GO GFRIEND!] in SEOUL DVD (*Order can be canceled cause of early out of stock)","Release 2020-03-11","(Expected) Date of stock 2020-03-12","USD 39.59",""
"VICTON - Mini Album Vol.6 [CONTINUOUS] (BLUE Ver.)","Release 2020-03-10","(Expected) Date of stock 2020-03-09","USD 12.93 USD 16.28","Sales 2,497"
"VICTON - Mini Album Vol.6 [CONTINUOUS] (LIGHT Ver.)","Release 2020-03-10","(Expected) Date of stock 2020-03-09","USD 12.93 USD 16.28","Sales 2,348"
"NCT 127 - Album Vol.2 [NCT #127 Neo Zone] (Random Ver.)","Release 2020-03-07","(Expected) Date of stock 2020-08-19","USD 14.34 USD 17.60","Sales 196,731"
"WJSN (Cosmic Girls) - Mini Album Vol.4 [Dream your dream] (Random Ver.)","Release 2020-03-06","(Expected) Date of stock 2020-09-14","USD 11.62 USD 14.52","Sales 1,060"
"Yook Sung Jae - Special Album [YOOK O’clock]","Release 2020-03-03","(Expected) Date of stock 2020-09-21","USD 12.93 USD 16.28","Sales 2,757"
"ELRIS - Mini Album Vol.4 [JACKPOT] (Red Ver.)","Release 2020-02-27","(Expected) Date of stock 2020-09-07","USD 12.93 USD 16.28","Sales 149"
"TAEMIN - 2nd CONCERT [T1001101] KiT Video *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped to abroa","Release 2020-02-27","(Expected) Date of stock 2020-07-21","USD 35.37 USD 37.12","Sales 444"
"MONSTA X - ALL ABOUT LUV (Deluxe Photo Book) (Income edition)","Release 2020-02-26","(Expected) Date of stock 2020-02-26","USD 29.91 USD 35.10","Sales 789"
"MONSTA X - ALL ABOUT LUV (Standard Casemade Book) (Income edition)","Release 2020-02-26","(Expected) Date of stock 2020-04-17","USD 18.65 USD 21.99","Sales 903"
"Ravi - Album Vol.1 [EL DORADO]","Release 2020-02-25","(Expected) Date of stock 2020-07-22","USD 14.96 USD 19.36","Sales 357"
"SPECTRUM - Single Album Vol.4 [0325]","Release 2020-02-25","(Expected) Date of stock 2020-07-13","USD 12.58 USD 16.19","Sales 54"
"UNVS - Debut Signle Album [TIMELESS]","Release 2020-02-25","(Expected) Date of stock 2020-09-15","USD 10.65 USD 13.64","Sales 110"
"This Month’s Girl (LOONA) : HaSeul - Single Album [LOOΠΔ&HaSeul]","Release 2020-02-24","(Expected) Date of stock 2020-03-05","USD 9.68","Sales 1,193"
"This Month’s Girl (LOONA) : HaSeul&ViVi - Single Album [HaSeul&ViVi]","Release 2020-02-24","(Expected) Date of stock 2020-09-09","USD 9.68","Sales 1,025"
"This Month’s Girl (LOONA) : HaSeul&YeoJin - Single Album [HaSeul&YeoJin]","Release 2020-02-24","(Expected) Date of stock 2020-03-05","USD 9.68 USD 12.93","Sales 694"
"This Month’s Girl (LOONA) : HeeJin&HyunJin&YeoJin - Single Album [LOOΠΔ&YeoJin]","Release 2020-02-24","(Expected) Date of stock 2020-03-05","USD 9.68","Sales 843"
"This Month’s Girl (LOONA) : JinSoul&Choerry - Single Album [JinSoul&Choerry]","Release 2020-02-24","(Expected) Date of stock 2020-03-05","USD 10.38 USD 12.93","Sales 1,185"
"This Month’s Girl (LOONA) : Yves - Single Album [Yves] (A ver.)","Release 2020-02-24","(Expected) Date of stock 2020-09-09","USD 10.30 USD 12.93","Sales 1,200"
"This Month’s Girl (LOONA) : Yves - Single Album [Yves] (B ver.)","Release 2020-02-24","(Expected) Date of stock 2020-03-05","USD 10.30 USD 12.93","Sales 1,053"
"This Month’s Girl ODD EYE CIRCLE (LOONA) - Mini Album Vol.2 Repackage [Max&Match] (Normal Edition)","Release 2020-02-24","(Expected) Date of stock 2020-03-05","USD 15.57 USD 19.36","Sales 2,783"
"BTS - Album [MAP OF THE SOUL : 7] (Random Ver.)","Release 2020-02-21","(Expected) Date of stock 2020-09-09","USD 16.81 USD 20.94","Sales 201,783"
"D.COY - Single Album Vol.1 [COLOR MAGIC]","Release 2020-02-20","(Expected) Date of stock 2020-08-05","USD 11.44 USD 14.52","Sales 24"
"CHANGMO - Album Vol.1 [Boyhood]","Release 2020-02-18","(Expected) Date of stock 2020-09-21","USD 11.97 USD 15.22","Sales 696"
"IZ*ONE - Album Vol.1 [BLOOM*IZ] (Kit Album) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped at a time.","Release 2020-02-18","(Expected) Date of stock 2020-08-20","USD 18.39 USD 23.67","Sales 3,648"
"IZ*ONE - Album Vol.1 [BLOOM*IZ] (Random Ver.)","Release 2020-02-18","(Expected) Date of stock 2020-09-15","USD 14.43 USD 18.56","Sales 86,213"
"Moon Byul - Mini Album Vol.2 [Dark Side of the Moon]","Release 2020-02-14","(Expected) Date of stock 2020-09-11","USD 12.93 USD 16.28","Sales 6,159"
"BLACK6IX - Mini Album Vol.2 [Nice To Meet You]","Release 2020-02-13","(Expected) Date of stock 2020-08-25","USD 11.35 USD 14.52","Sales 60"
"PENTAGON - Album Vol.1 [UNIVERSE : THE BLACK HALL] (DOWNSIDE Ver.) *Ktown4u Pre-order benefit : *Ktown4u Pre-order benefit : Photocard 2p 1set","Release 2020-02-13","(Expected) Date of stock 2020-09-21","USD 14.34 USD 17.60","Sales 4,866"
"PENTAGON - Album Vol.1 [UNIVERSE : THE BLACK HALL] (UPSIDE Ver.) *Ktown4u Pre-order benefit : Photocard 2p 1set","Release 2020-02-13","(Expected) Date of stock 2020-09-21","USD 14.34 USD 17.60","Sales 5,009"
"Cosmic Boy - EP Album [Can I Heat ?]","Release 2020-02-07","(Expected) Date of stock 2020-06-25","USD 10.21 USD 13.11","Sales 35"
"iKON - Mini Album Vol.3 [i DECIDE] (GREEN Ver.)","Release 2020-02-07","(Expected) Date of stock 2020-09-14","USD 15.22 USD 20.32","Sales 11,696"
"iKON - Mini Album Vol.3 [i DECIDE] (RED Ver.)","Release 2020-02-07","(Expected) Date of stock 2020-09-14","USD 15.22 USD 20.32","Sales 13,150"
"How Are You Bread O.S.T (Suho)","Release 2020-02-07","(Expected) Date of stock 2020-09-14","USD 13.99 USD 17.42","Sales 242"
"(Out Of Stock) This Month’s Girl (LOONA) - Mini Album Vol.2 [#] (Limited A)","Release 2020-02-06","(Expected) Date of stock 2020-03-23","USD 19.45 USD 24.19","Sales 4,528"
"(Out Of Stock) This Month’s Girl (LOONA) - Mini Album Vol.2 [#] (Limited B)","Release 2020-02-06","(Expected) Date of stock 2020-05-07","USD 19.45 USD 24.19","Sales 3,544"
"DKB - Mini Album Vol.1 [Youth]","Release 2020-02-04","(Expected) Date of stock 2020-09-08","USD 12.93 USD 16.28","Sales 373"
"GFRIEND - Album [回:LABYRINTH] (Twisted Ver.)","Release 2020-02-04","(Expected) Date of stock 2020-09-14","USD 15.57 USD 19.36","Sales 2,366"
"HYUKOH - Album Vol.5 [through love]","Release 2020-02-04","(Expected) Date of stock 2020-09-21","USD 13.90 USD 17.68","Sales 623"
"IZ - Single Album Vol.3 [THE:IZ]","Release 2020-02-04","(Expected) Date of stock 2020-09-02","USD 10.30 USD 12.93","Sales 109"
"Lee Hae Ri - Mini Album Vol.2 [from h]","Release 2020-02-01","(Expected) Date of stock 2020-02-03","USD 13.99 USD 17.68","Sales 96"
"SECHSKIES - Mini Album Vol.1 [ALL FOR YOU] (ALL Ver.)","Release 2020-01-29","(Expected) Date of stock 2020-09-03","USD 15.22 USD 20.32","Sales 6,424"
"Super Junior - Album Vol.9 Repackage [TIMELESS] (Random Ver.)","Release 2020-01-29","(Expected) Date of stock 2020-09-21","USD 16.81 USD 20.94","Sales 42,099"
"KIM DONG WAN - Mini Album […LER] (Healer Ver.)","Release 2020-01-23","(Expected) Date of stock 2020-06-05","USD 16.81 USD 20.94","Sales 730"
"KIM DONG WAN - Mini Album […LER] (Killer Ver.)","Release 2020-01-23","(Expected) Date of stock 2020-06-05","USD 16.81 USD 20.94","Sales 795"
"(Out Of Stock) TAEYEON - Album Vol.2 Repackage [Purpose] (Kit Album) *Due to the built-in battery inside, only 1 item can be shipped per package","Release 2020-01-23","(Expected) Date of stock 2020-01-22","USD 16.81 USD 20.94","Sales 1,000"
"(Out Of Stock) [Photobook] LIM HYUN SIK - PHOTO-VOUS BOOK [RENDEZ-VOUS]","Release 2020-01-20","(Expected) Date of stock 2020-01-20","USD 24.63","Sales 100"
"TAEYEON - Album Vol.2 Repackage [Purpose] (Random Ver.)","Release 2020-01-16","(Expected) Date of stock 2020-09-15","USD 16.19 USD 20.24","Sales 14,376"
"Kim Jae Joong - Mini Album Vol.2 [Ayo]","Release 2020-01-15","(Expected) Date of stock 2020-01-14","USD 10.30 USD 12.93","Sales 70,114"
"Baek Ye Rin - Album [Every letter I sent you.]","Release 2020-01-13","(Expected) Date of stock 2020-09-15","USD 19.45 USD 24.19","Sales 917"
"Crossroad - Mini Album Vol.1 [NEWS]","Release 2020-01-11","(Expected) Date of stock 2020-04-10","USD 13.73 USD 17.68","Sales 2"
"(Out Of Stock) [Photobook] Red Velvet - SELFIE BOOK : RED VELVET #3","Release 2020-01-10","(Expected) Date of stock 2020-01-10","USD 13.11","Sales 800"
"B.O.Y - Mini Album Vol.1 [Phase One: YOU] (6AM Ver.)","Release 2020-01-08","(Expected) Date of stock 2020-09-11","USD 15.93 USD 20.24","Sales 203"
"B.O.Y - Mini Album Vol.1 [Phase One: YOU] (6PM Ver.)","Release 2020-01-08","(Expected) Date of stock 2020-09-09","USD 15.93 USD 20.24","Sales 207"
"SF9 - Album Vol.1 [FIRST COLLECTION] (Random Ver.)","Release 2020-01-08","(Expected) Date of stock 2020-09-10","USD 16.81 USD 20.94","Sales 20,382"
"VERIVERY - Mini Album Vol.3 [FACE ME] (Kit Album) *Due to the built-in battery inside, only 1 item can be shipped per package","Release 2020-01-08","(Expected) Date of stock 2020-08-10","USD 18.56 USD 23.75","Sales 27"
"VERIVERY - Mini Album Vol.3 [FACE ME] (Official Ver.)","Release 2020-01-08","(Expected) Date of stock 2020-01-07","USD 12.06 USD 15.31","Sales 330"
"ATEEZ - Album [TREASURE EPILOGUE : Action To Answer] (A Ver.)","Release 2020-01-07","(Expected) Date of stock 2020-09-09","USD 12.06 USD 15.31","Sales 4,490"
"ATEEZ - Album [TREASURE EPILOGUE : Action To Answer] (Z Ver.)","Release 2020-01-07","(Expected) Date of stock 2020-09-21","USD 12.06 USD 15.31","Sales 4,975"
"TopSecret - Single Album Vol.4 [COUNTDOWN]","Release 2020-01-03","(Expected) Date of stock 2020-07-14","USD 10.21 USD 12.93","Sales 8"
"JEONG MIN - Single Album Vol.3 [Winter Dream]","Release 2019-12-31","(Expected) Date of stock 2020-09-08","USD 5.19 USD 6.43","Sales 26"
"(Out Of Stock) [Photobook] NU`EST - NU ANNUAL (AR Photobook)","Release 2019-12-31","(Expected) Date of stock 2020-01-06","USD 34.31","Sales 106"
"EXO - Album Vol.6 [OBSESSION (OBSESSION Ver.)] (Kit Ver) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped to abroad at a time.","Release 2019-12-24","(Expected) Date of stock 2020-09-21","USD 16.81 USD 20.94","Sales 6,000"
"MBA - Album Vol.1 [TRIP]","Release 2019-12-21","(Expected) Date of stock 2020-07-27","USD 18.65 USD 24.19","Sales 22"
"MAMAMOO - Virtual Play Album","Release 2019-12-20","(Expected) Date of stock 2020-03-27","USD 48.38","Sales 193"
"HYUK - Mini Album Vol.1 [Winter butterfly]","Release 2019-12-19","(Expected) Date of stock 2020-09-09","USD 10.56 USD 13.73","Sales 260"
"AVIN - EP Album Vol.1 [TRANCHE]","Release 2019-12-18","(Expected) Date of stock 2020-05-26","USD 12.49 USD 16.28","Sales 8"
"Chief of Staff 2 O.S.T - JTBC Drama","Release 2019-12-18","(Expected) Date of stock 2020-07-13","USD 14.96 USD 19.36","Sales 8"
"Kim Feel - Album Vol.1 [yours, sincerely]","Release 2019-12-14","(Expected) Date of stock 2020-08-28","USD 13.73 USD 17.68","Sales 61"
"Kim Jae Hwan - Mini Album Vol.2 [MOMENT] (Random Ver.)","Release 2019-12-13","(Expected) Date of stock 2019-12-20","USD 12.41 USD 16.28","Sales 36"
"BoA - Mini Album Vol.2 [Starry Night]","Release 2019-12-12","(Expected) Date of stock 2020-09-01","USD 12.93 USD 16.28","Sales 365"
"(Out Of Stock) Giriboy - Album Vol.7 [Fatal Album Ⅲ]","Release 2019-12-10","(Expected) Date of stock 2019-12-10","USD 24.63 USD 30.62","Sales 60"
"PANDAGOMM - Album Vol.1 [sleeptalking]","Release 2019-12-10","(Expected) Date of stock 2020-04-24","USD 12.14 USD 16.19","Sales 11"
"PULLIK - Mini Album Vol.1 [0.5]","Release 2019-12-10","(Expected) Date of stock 2020-09-14","USD 11.62 USD 14.52","Sales 21"
"(Out Of Stock) Stray Kids - Mini Album [Clé : LEVANTER] (Limited Edition)","Release 2019-12-10","(Expected) Date of stock 2019-12-09","USD 11.62 USD 14.52","Sales 10,549"
"Stray Kids - Mini Album [Clé : LEVANTER] (Normal Edition)","Release 2019-12-10","(Expected) Date of stock 2020-09-14","USD 11.62 USD 14.52","Sales 6,843"
"pegasus market O.S.T - tvN Drama","Release 2019-12-10","(Expected) Date of stock 2020-08-18","USD 13.02 USD 16.89","Sales 5"
"(Out Of Stock) [Photobook] Super Junior - Selfie Book : Super Junior","Release 2019-12-10","(Expected) Date of stock 2019-12-17","USD 13.11",""
"IZ - Single Album [메멘토(Memento)]","Release 2019-12-06","(Expected) Date of stock 2020-09-14","USD 6.51 USD 7.92","Sales 82"
"EXO - Album Vol.6 [OBSESSION (OBSESSION Ver.)]","Release 2019-12-05","(Expected) Date of stock 2020-09-21","USD 16.19 USD 20.24","Sales 13,112"
"Frozen 2 O.S.T - Korean movie (Korean Ver.) (Taeyeon)","Release 2019-12-02","(Expected) Date of stock 2020-07-06","USD 12.85 USD 16.28","Sales 94"
"Newkidd - Signle Album Vol.2 [COME]","Release 2019-11-29","(Expected) Date of stock 2020-08-10","USD 9.94 USD 12.93","Sales 77"
"EXO - Album Vol.6 [OBSESSION (EXO & X-EXO Ver.)] (X-EXO Ver.)","Release 2019-11-28","(Expected) Date of stock 2020-10-12","USD 16.19 USD 20.24","Sales 78,827"
"Dynamic Duo - Album Vol.9 [OFF DUTY]","Release 2019-11-27","(Expected) Date of stock 2020-09-15","USD 13.73 USD 17.68","Sales 43"
"Joseon roco Mungdujeon O.S.T - KBS2 Drama","Release 2019-11-27","(Expected) Date of stock 2020-08-11","USD 21.99 USD 27.36","Sales 71"
"SUNGMIN - Mini Album Vol.1 [Orgel]","Release 2019-11-22","(Expected) Date of stock 2020-08-19","USD 14.34 USD 17.60","Sales 1,600"
"ASTRO - Mini Album Vol.6 [BLUE FLAME] (Random Ver.)","Release 2019-11-21","(Expected) Date of stock 2020-09-15","USD 12.49 USD 16.19","Sales 5,703"
"AWEEK - Mini Album Vol.1 [The Birth Of Seven]","Release 2019-11-21","(Expected) Date of stock 2020-08-25","USD 11.00 USD 13.73","Sales 28"
"CIX - EP Album Vol.2 [HELLO Chapter 2. Hello, Strange Place] (Hello Ver.)","Release 2019-11-20","(Expected) Date of stock 2020-08-18","USD 13.73 USD 17.77","Sales 583"
"CIX - EP Album Vol.2 [HELLO Chapter 2. Hello, Strange Place] (Strange Place Ver.)","Release 2019-11-20","(Expected) Date of stock 2020-08-18","USD 13.73 USD 17.77","Sales 571"
"WJSN (Cosmic Girls) - Mini Album [As you Wish] (Random Ver.)","Release 2019-11-20","(Expected) Date of stock 2020-09-15","USD 12.93 USD 16.28","Sales 25,790"
"IN2IT - Single Album Vol.3 [PUZZLE] (Random Ver.) (Kit Album) *Due to the built-in battery of the Khino album, only 1 item could be ordered and shipped to abroad at a time.","Release 2019-11-14","(Expected) Date of stock 2020-08-13","USD 17.07 USD 21.99","Sales 47"
"7O'CLOCK - Mini Album Vol.3 [백야 : White Night]","Release 2019-11-13","(Expected) Date of stock 2020-09-04","USD 12.32 USD 15.40","Sales 74"
"NATURE - Mini Album Vol.2 [NATURE WORLD: CODE A] (Random Ver.)","Release 2019-11-13","(Expected) Date of stock 2020-09-14","USD 11.88 USD 15.31","Sales 52"
"Car the garden - Album Vol.2 [C]","Release 2019-11-11","(Expected) Date of stock 2020-07-21","USD 13.64 USD 17.68","Sales 15"
"WE IN THE ZONE - Mini Album Vol.2 [weeee!]","Release 2019-11-08","(Expected) Date of stock 2020-08-18","USD 12.93 USD 16.28","Sales 56"
"1TEAM - Mini Album Vol.3 [ONE] (Make Ver.)","Release 2019-11-07","(Expected) Date of stock 2020-09-21","USD 11.62 USD 14.52","Sales 278"
"1TEAM - Mini Album Vol.3 [ONE] (This Ver.)","Release 2019-11-07","(Expected) Date of stock 2020-09-21","USD 11.62 USD 14.52","Sales 226"
